summary_basis,instrument,tracker_rows,excluded_count,total_requirements,notes,implemented_count,implemented_pct,partially_implemented_count,partially_implemented_pct,unable_to_verify_count,unable_to_verify_pct,not_implemented_count,not_implemented_pct,superseded_or_replaced_count,superseded_or_replaced_pct,no_longer_applicable_count,no_longer_applicable_pct
comparable_baseline_45,EO 13859,23,0,23,"Comparable status summary as of July 24, 2026 using the same 45 counted requirements as the original baseline. The explicitly excluded EO13960 section 5(c)(ii) tracker row is omitted here.",8,34.8,3,13.0,9,39.1,0,0.0,3,13.0,0,0.0
comparable_baseline_45,EO 13960,17,1,16,"Comparable status summary as of July 24, 2026 using the same 45 counted requirements as the original baseline. The explicitly excluded EO13960 section 5(c)(ii) tracker row is omitted here.",1,6.2,7,43.8,5,31.2,0,0.0,3,18.8,0,0.0
comparable_baseline_45,AI in Government Act,6,0,6,"Comparable status summary as of July 24, 2026 using the same 45 counted requirements as the original baseline. The explicitly excluded EO13960 section 5(c)(ii) tracker row is omitted here.",3,50.0,2,33.3,1,16.7,0,0.0,0,0.0,0,0.0
comparable_baseline_45,Total,46,1,45,"Comparable status summary as of July 24, 2026 using the same 45 counted requirements as the original baseline. The explicitly excluded EO13960 section 5(c)(ii) tracker row is omitted here.",12,26.7,12,26.7,15,33.3,0,0.0,6,13.3,0,0.0
full_tracker_46,EO 13859,23,0,23,"Full status summary as of July 24, 2026 across all 46 appendix tracker rows, including the originally excluded row.",8,34.8,3,13.0,9,39.1,0,0.0,3,13.0,0,0.0
full_tracker_46,EO 13960,17,1,17,"Full status summary as of July 24, 2026 across all 46 appendix tracker rows, including the originally excluded row.",1,5.9,7,41.2,6,35.3,0,0.0,3,17.6,0,0.0
full_tracker_46,AI in Government Act,6,0,6,"Full status summary as of July 24, 2026 across all 46 appendix tracker rows, including the originally excluded row.",3,50.0,2,33.3,1,16.7,0,0.0,0,0.0,0,0.0
full_tracker_46,Total,46,1,46,"Full status summary as of July 24, 2026 across all 46 appendix tracker rows, including the originally excluded row.",12,26.1,12,26.1,16,34.8,0,0.0,6,13.0,0,0.0
